"collection","period_label","year"
"Archivio Luisa Vertova","18th century","1960"
"Archivio Luisa Vertova","18th century","1961"
"Archivio Luisa Vertova","18th century","1962"
"Archivio Luisa Vertova","18th century","1963"
"Archivio Luisa Vertova","18th century","1964"
"Archivio Luisa Vertova","18th century","1965"
"Archivio Luisa Vertova","18th century","1966"
"Archivio Luisa Vertova","18th century","1967"
"Archivio Luisa Vertova","18th century","1968"
"Archivio Luisa Vertova","18th century","1969"
"Archivio Luisa Vertova","18th century","1970"
"Archivio Luisa Vertova","18th century","1971"
"Archivio Luisa Vertova","18th century","1972"
"Archivio Luisa Vertova","18th century","1973"
"Archivio Luisa Vertova","18th century","1974"
"Archivio Luisa Vertova","18th century","1975"
"Archivio Luisa Vertova","18th century","1976"
"Archivio Luisa Vertova","18th century","1977"
"Archivio Luisa Vertova","18th century","1978"
"Archivio Luisa Vertova","18th century","1979"
"Archivio Luisa Vertova","18th century","1980"
"Archivio Luisa Vertova","18th century","1981"
"Archivio Luisa Vertova","18th century","1982"
"Archivio Luisa Vertova","18th century","1983"
"Archivio Luisa Vertova","18th century","1984"
"Archivio Luisa Vertova","18th century","1985"
"Archivio Luisa Vertova","18th century","1986"
"Archivio Luisa Vertova","18th century","1987"
"Archivio Luisa Vertova","18th century","1988"
"Archivio Luisa Vertova","18th century","1989"
"Archivio Luisa Vertova","18th century","1990"
"Archivio Luisa Vertova","18th century","1991"
"Archivio Luisa Vertova","18th century","1992"
"Archivio Luisa Vertova","18th century","1993"
"Archivio Luisa Vertova","18th century","1994"
"Archivio Luisa Vertova","18th century","1995"
"Archivio Luisa Vertova","18th century","1996"
"Archivio Luisa Vertova","18th century","1997"
"Archivio Luisa Vertova","18th century","1998"
"Archivio Luisa Vertova","18th century","1999"
"Archivio Luisa Vertova","18th century","2000"
"Archivio Luisa Vertova","18th century","2001"
"Archivio Luisa Vertova","18th century","2002"
"Archivio Luisa Vertova","18th century","2003"
"Archivio Luisa Vertova","18th century","2004"
"Archivio Luisa Vertova","18th century","2005"
"Archivio Luisa Vertova","18th century","2006"
"Archivio Luisa Vertova","18th century","2007"
"Archivio Luisa Vertova","18th century","2008"
"Archivio Luisa Vertova","18th century","2009"
"Archivio Luisa Vertova","18th century","2010"
"Archivio Luisa Vertova","18th century","2011"
"Archivio Luisa Vertova","18th century","2012"
"Archivio Luisa Vertova","18th century","2013"
"Archivio Luisa Vertova","18th century","2014"
"Archivio Luisa Vertova","18th century","2015"
"Archivio Luisa Vertova","18th century","2016"
"Archivio Luisa Vertova","18th century","2017"
"Archivio Luisa Vertova","18th century","2018"
"Fototeca Stefano Tumidei","18th century","1984"
"Fototeca Stefano Tumidei","18th century","1985"
"Fototeca Stefano Tumidei","18th century","1986"
"Fototeca Stefano Tumidei","18th century","1987"
"Fototeca Stefano Tumidei","18th century","1988"
"Fototeca Stefano Tumidei","18th century","1989"
"Fototeca Stefano Tumidei","18th century","1990"
"Fototeca Stefano Tumidei","18th century","1991"
"Fototeca Stefano Tumidei","18th century","1992"
"Fototeca Stefano Tumidei","18th century","1993"
"Fototeca Stefano Tumidei","18th century","1994"
"Fototeca Stefano Tumidei","18th century","1995"
"Fototeca Stefano Tumidei","18th century","1996"
"Fototeca Stefano Tumidei","18th century","1997"
"Fototeca Stefano Tumidei","18th century","1998"
"Fototeca Stefano Tumidei","18th century","1999"
"Fototeca Stefano Tumidei","18th century","2000"
"Fototeca Stefano Tumidei","18th century","2001"
"Fototeca Stefano Tumidei","18th century","2002"
"Fototeca Stefano Tumidei","18th century","2003"
