 "class_subj" , "predicate" , "class_obj" ,
  , "http://www.w3.org/2000/01/rdf-schema#comment" ,  ,
  , "http://www.w3.org/2000/01/rdf-schema#label" ,  ,
  , "http://www.w3.org/ns/prov#generatedAtTime" ,  ,
  , "http://www.w3.org/ns/prov#wasGeneratedBy" ,  ,
  , "http://www.w3.org/ns/prov#wasInfluencedBy" ,  ,
  , "http://www.wikidata.org/prop/direct/P580" ,  ,
  , "http://www.wikidata.org/prop/direct/P582" ,  ,
  , "http://www.wikidata.org/prop/direct/P131" ,  ,
  , "http://www.wikidata.org/prop/direct/P921" , "http://www.wikidata.org/entity/Q5" ,
  , "http://www.wikidata.org/prop/direct/P921" , "http://www.wikidata.org/entity/Q9388534" ,
  , "https://w3id.org/artchives/publicationStage" ,  ,
  , "https://w3id.org/artchives/wikidataReconciliation" ,  ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" ,  ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.w3.org/2000/01/rdf-schema#label" ,  ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.wikidata.org/prop/direct/P131" ,  ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.wikidata.org/prop/direct/P1329" ,  ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.wikidata.org/prop/direct/P17" ,  ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.wikidata.org/prop/direct/P1830" , "http://www.wikidata.org/entity/Q9388534" ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.wikidata.org/prop/direct/P856" ,  ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.wikidata.org/prop/direct/P968" ,  ,
 "http://www.wikidata.org/entity/Q31855" , "http://www.wikidata.org/prop/direct/P969" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://purl.org/dc/terms/description" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.w3.org/2000/01/rdf-schema#label" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.wikidata.org/prop/direct/P106" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.wikidata.org/prop/direct/P27" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.wikidata.org/prop/direct/P569" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.wikidata.org/prop/direct/P570" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.wikidata.org/prop/direct/P800" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.wikidata.org/prop/direct/P921" ,  ,
 "http://www.wikidata.org/entity/Q5" , "http://www.wikidata.org/prop/direct/P921" , "http://www.wikidata.org/entity/Q31855" ,
 "http://www.wikidata.org/entity/Q5" , "http://www.wikidata.org/prop/direct/P921" , "http://www.wikidata.org/entity/Q5" ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.w3.org/2000/01/rdf-schema#comment" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.w3.org/2000/01/rdf-schema#label" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P127" , "http://www.wikidata.org/entity/Q31855" ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P1319" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P1326" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P1436" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P170" , "http://www.wikidata.org/entity/Q5" ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P217" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P275" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P485" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P485" , "http://www.wikidata.org/entity/Q31855" ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P571" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P793" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P793" , "http://www.wikidata.org/entity/Q31855" ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P921" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P921" , "http://www.wikidata.org/entity/Q31855" ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P921" , "http://www.wikidata.org/entity/Q5" ,
 "http://www.wikidata.org/entity/Q9388534" , "http://www.wikidata.org/prop/direct/P973" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasAccessConditions" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasAcquisitionType" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasAggregator" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasCataloguingStandard" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasFirstLink" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasHistoricalNotes" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasMainObjectType" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasNotesOnFindingAid" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasNotesOnOtherNuclei" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasNotesOnScopeAndContent" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasNotesOnSystemOfArrangement" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasOtherNotes" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasOtherObjectType" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasScopeAndContentSubject" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q31855" ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasScopeAndContentSubject" , "http://www.wikidata.org/entity/Q5" ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasSecondLink" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasSubjectArtist" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasSubjectArtwork" ,  ,
 "http://www.wikidata.org/entity/Q9388534" , "https://w3id.org/artchives/hasSubjectGenre" ,  ,
