"collection","period_label"
"Fototeca Julian Kliemann","17th century"
"Fototeca Stefano Tumidei","17th century"
"Archivio Luisa Vertova","17th century"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","17th century"
"Luigi Salerno research papers","17th century"
"Fototeca Zeri","17th century"
"Nachlass Wolfgang Lotz","17th century"
"Julius S. Held papers","17th century"
"Nachlass Kurt Badt","Middle Ages"
"Ernst Kitzinger papers, 1931-1995","Middle Ages"
"Fototeca Zeri","Middle Ages"
"Nachlass Otto Lehmann-Brockhaus","Middle Ages"
"Nachlass Werner Cohn","Middle Ages"
"Fototeca Julian Kliemann","mannerism"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","mannerism"
"Nachlass Kurt Badt","mannerism"
"Ellis K. Waterhouse notebooks and research files","mannerism"
"Fototeca Zeri","mannerism"
"Fototeca Stefano Tumidei","neoclassicism"
"Archivio Luisa Vertova","neoclassicism"
"Archivio Luisa Vertova","19th century"
"Fototeca Fahy","14th century"
"John Pope-Hennessy papers","15th century"
"Fototeca Fahy","15th century"
"Archivio Luisa Vertova","15th century"
"Gustav Ludwig-Vermächtnis","15th century"
"Fototeca Julian Kliemann","15th century"
"Fototeca Stefano Tumidei","15th century"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","15th century"
"Fototeca Zeri","15th century"
"Fototeca Stefano Tumidei","18th century"
"Luigi Salerno research papers","18th century"
"Archivio Luisa Vertova","18th century"
"Nachlass Wolfgang Lotz","Renaissance"
"Nachlass Cornelius von Fabriczy","Renaissance"
"Leo Steinberg research papers","Renaissance"
"John Pope-Hennessy papers","Renaissance"
"Fototeca Fahy","Renaissance"
"Nachlass Werner Cohn","Renaissance"
"Ulrich Middledorf papers","Renaissance"
"Nachlass Ernst Steinmann","Renaissance"
"Nachlass Richard Krautheimer","Renaissance"
"Fototeca Julian Kliemann","Renaissance"
"Fototeca Stefano Tumidei","Renaissance"
"Archivio Luisa Vertova","Renaissance"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","Renaissance"
"Fototeca Zeri","Renaissance"
"Fondo Aby Warburg","Renaissance"
"Leo Steinberg research papers","modern art"
"Archivio Luisa Vertova","Romanticism"
"Nachlass Ulrich Middeldorf","Cold War"
"Ellis K. Waterhouse notebooks and research files","baroque"
"Luigi Salerno research papers","baroque"
"Fototeca Zeri","baroque"
"Nachlass Wolfgang Lotz","baroque"
"Nachlass Richard Krautheimer","baroque"
"Fototeca Julian Kliemann","baroque"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","baroque"
"Nachlass Kurt Badt","baroque"
"Fototeca Stefano Tumidei","baroque"
"Fototeca Fahy","16th century"
"Archivio Luisa Vertova","16th century"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","16th century"
"Gustav Ludwig-Vermächtnis","16th century"
"Julius S. Held papers","16th century"
"Nachlass Kurt Badt","16th century"
"Fototeca Julian Kliemann","16th century"
"Fototeca Stefano Tumidei","16th century"
"Fototeca Zeri","16th century"
"Nachlass Wolfgang Lotz","16th century"
"Nachlass Richard Krautheimer","early Christian art and architecture"
"Ernst Kitzinger papers, 1931-1995","early Christian art and architecture"
"Nachlass Richard Krautheimer","Byzantine art"
"Ernst Kitzinger papers, 1931-1995","Byzantine art"
